threadsNum = 28
n,SEQ,PAR,par_sr,SEQ/PAR, SEQ/par_sr 
1024,2.004e-07,0.000527694,2.68978e-05,0.000379765,0.00745042
2048,3.309e-07,0.000473163,4.38835e-05,0.000699335,0.00754042
4096,5.654e-07,0.000105572,7.59914e-05,0.00535561,0.00744032
8192,1.077e-06,9.48431e-05,0.000136646,0.0113556,0.0078817
16384,2.0488e-06,0.000100758,0.000243135,0.0203338,0.00842659
32768,3.9939e-06,0.000108797,0.000264022,0.0367096,0.0151272
65536,8.103e-06,0.000104432,0.000262126,0.0775915,0.0309126
131072,1.82106e-05,0.000108473,0.000263684,0.167882,0.0690621
262144,4.74607e-05,0.000111896,0.000277985,0.42415,0.170731
524288,0.000143728,0.00012777,0.000264456,1.12489,0.543484
1048576,0.000375532,0.000131169,0.000258121,2.86296,1.45487
2097152,0.000831525,0.000155685,0.00025353,5.34108,3.27979
4194304,0.00182281,0.000187744,0.000281529,9.70903,6.47466
8388608,0.00330015,0.000269925,0.000232656,12.2262,14.1847
16777216,0.00665188,0.000581059,0.000511973,11.4479,12.9926
33554432,0.0136419,0.00190979,0.00190656,7.1431,7.1552
67108864,0.0271713,0.0045759,0.00456272,5.93791,5.95506
134217728,0.0556,0.00977733,0.0100745,5.68663,5.5189
268435456,0.221041,0.0210852,0.0191757,10.4832,11.5272
