threadsNum = 4,,,,,
n,SEQ,PAR,par_sr,SEQ/PAR, SEQ/par_sr 
1024,1.86E-07,9.75E-05,8.44E-06,0.00190581,0.0220106
2048,2.94E-07,2.07E-05,2.98E-05,0.0142126,0.00987305
4096,5.34E-07,2.53E-05,2.97E-05,0.021113,0.017966
8192,1.01E-06,2.16E-05,2.84E-05,0.0467841,0.0355062
16384,2.09E-06,2.21E-05,2.85E-05,0.0945822,0.0733269
32768,3.98E-06,2.36E-05,3.01E-05,0.168232,0.13206
65536,8.16E-06,2.48E-05,2.91E-05,0.329567,0.280484
131072,1.77E-05,3.16E-05,3.34E-05,0.56188,0.531757
262144,3.95E-05,3.92E-05,4.29E-05,1.00744,0.92115
524288,9.53E-05,5.28E-05,6.53E-05,1.80604,1.45938
1048576,0.000232524,8.97E-05,9.06E-05,2.59266,2.56685
2097152,0.000477268,0.000137622,0.000146206,3.46796,3.26435
4194304,0.000924081,0.000268128,0.000299366,3.44642,3.0868
8388608,0.0022,0.00069205,0.000702568,3.17896,3.13137
16777216,0.0048846,0.00182936,0.00185717,2.67011,2.63013
33554432,0.0108906,0.00398483,0.0040974,2.73303,2.65794
67108864,0.0234097,0.00846155,0.00851513,2.7666,2.74919
134217728,0.0534415,0.0177684,0.017973,3.00766,2.97343
268435456,0.126518,0.0519595,0.0526768,2.43493,2.40177
,,,,,
,,,,,
,,,,,
x Where input size is 2^x,seq,SEQ/PAR, SEQ/par_sr ,,
10,1,0.00190581,0.0220106,,
11,1,0.0142126,0.00987305,,
12,1,0.021113,0.017966,,
13,1,0.0467841,0.0355062,,
14,1,0.0945822,0.0733269,,
15,1,0.168232,0.13206,,
16,1,0.329567,0.280484,,
17,1,0.56188,0.531757,,
18,1,1.00744,0.92115,,
19,1,1.80604,1.45938,,
20,1,2.59266,2.56685,,
21,1,3.46796,3.26435,,
22,1,3.44642,3.0868,,
23,1,3.17896,3.13137,,
24,1,2.67011,2.63013,,
25,1,2.73303,2.65794,,
26,1,2.7666,2.74919,,
27,1,3.00766,2.97343,,
28,1,2.43493,2.40177,,
